date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
1997,2132531250.71872,0.419562312139647,2377885305.09579,14.7210808045738,6482480222.50448,TZA
1996,2123621335.94056,-2.59731618467094,2368079912.78458,16.471761382849,5396892668.27443,TZA
1995,2180249303.97898,-14.7157730020278,2432358747.47852,19.5959278265188,4406767187.16644,TZA
1994,2556450800.72171,1.23536668049186,2857926581.57037,24.4389518836888,3790931829.29057,TZA
1993,2525254646.22467,-11.3205978963316,2823038029.19668,24.8934244200063,3566392119.89913,TZA
1992,2847622544.04082,-1.87231232218966,3187615633.19308,26.9634960193535,3806392906.34014,TZA
1991,2901956228.08379,11.7121344618849,3249417225.24607,25.9997256674887,4047885218.56894,TZA
1990,2597709051.09141,,2905934248.22657,25.7598174054675,3525686739.03225,TZA
1989,,,,,,TZA
1988,,,,,,TZA
1987,,,,,,TZA
1986,,,,,,TZA
1985,,,,,,TZA
1984,,,,,,TZA
1983,,,,,,TZA
1982,,,,,,TZA
1981,,,,,,TZA
1980,,,,,,TZA
1979,,,,,,TZA
1978,,,,,,TZA
1977,,,,,,TZA
1976,,,,,,TZA
1975,,,,,,TZA
1974,,,,,,TZA
1973,,,,,,TZA
1972,,,,,,TZA
1971,,,,,,TZA
1970,,,,,,TZA
1969,,,,,,TZA
1968,,,,,,TZA
1967,,,,,,TZA
1966,,,,,,TZA
1965,,,,,,TZA
1964,,,,,,TZA
1963,,,,,,TZA
1962,,,,,,TZA
1961,,,,,,TZA
1960,,,,,,TZA
2021,,,,,,THA
2020,,,103883411782.853,23.0651996020457,265334620067.298,THA
2019,,,109154659728.992,22.5201007972145,270744598616.318,THA
2018,,,107015327095.507,22.756644462711,247746810604.701,THA
2017,,,103133343187.788,23.1083649306357,223299400703.599,THA
2016,,,101265666524.202,23.7136263542096,206722158633.742,THA
2015,89712389445.1306,,98431953094.6604,24.5284891453984,206044464299.792,THA
2014,,,94313986904.8282,24.6613910005394,214245130819.771,THA
2013,,,96446285290.0177,25.3835377004292,220894551845.343,THA
2012,,,97431791850.3643,26.9936528421727,211772892665.146,THA
2011,,,87993086753.1694,25.8363693834547,196389312501.435,THA
2010,,,83907318997.5007,23.9927018003552,177973249762.511,THA
2009,,,75186274708.5797,23.108954889945,149491830437.091,THA
2008,,,84356422254.767,26.4477158532838,156296073940.438,THA
2007,,,82430964265.8944,25.4562513958054,138172065750.821,THA
2006,,,81009376181.7339,26.8466322343858,120749907607.835,THA
2005,,,78946499127.9398,27.7126228148178,105715251826.823,THA
2004,,,69082012656.2213,24.8641915872839,96605249811.0506,THA
