"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Vai","vai","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Eastern Balochi","bgp","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Hiligaynon","hil","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Limburgan","lim","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Neapolitan","nap","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Eastern Ojibwa","ojg","Living","Ascending",10,8.3315,0.302965,3.7708,2.6939,0.9268,0.62,0.32,0,0
"Vlax Romani","rmy","Living","Ascending",11,8.3156,0.302386,3.7458,2.8975,0.875,0.5714,0.2258,0,0
"Ewe","ewe","Living","Ascending",11,8.252,0.300072,3.7458,2.8975,0.875,0.7336,0,0,0
"Lakota","lkt","Living","Ascending",11,8.252,0.300072,3.7458,2.8975,0.875,0.7336,0,0,0
"Church Slavic","chu","Ancient","Ascending",10,8.2004,0.298197,3.7708,3.1828,0.9268,0,0.32,0,0
"Central Kanuri","knc","Living","Ascending",10,8.2004,0.298197,3.7708,3.1828,0.9268,0,0.32,0,0
"Sranan Tongo","srn","Living","Ascending",10,8.2004,0.298197,3.7708,3.1828,0.9268,0,0.32,0,0
"Pampanga","pam","Living","Ascending",11,8.1978,0.298101,3.7458,2.6175,0.875,0.7336,0.2258,0,0
"Afar","aar","Living","Ascending",10,8.1952,0.298008,3.7708,2.6939,0.9268,0.8037,0,0,0
"Chhattisgarhi","hne","Living","Ascending",10,8.1952,0.298008,3.7708,2.6939,0.9268,0.8037,0,0,0
"Nyankole","nyn","Living","Ascending",11,8.1874,0.297722,3.7458,2.8975,0.9726,0.5714,0,0,0
"Fijian","fij","Living","Ascending",11,8.1309,0.295667,3.7458,2.6175,0.875,0.5714,0.321,0,0
"Tahitian","tah","Living","Ascending",11,8.1309,0.295667,3.7458,2.6175,0.875,0.5714,0.321,0,0
"Tetum","tet","Living","Ascending",11,8.1309,0.295667,3.7458,2.6175,0.875,0.5714,0.321,0,0
"Ligurian","lij","Living","Ascending",11,8.0695,0.293437,3.7458,2.6175,0.9726,0.7336,0,0,0
"Papiamento","pap","Living","Ascending",11,8.0619,0.293161,3.7458,2.6175,0.875,0.5714,0.2258,0.0263,0
"Manipuri","mni","Living","Ascending",10,7.9456,0.288933,3.7708,3.1828,0.9268,0,0,0.0652,0
"Kölsch","ksh","Living","Ascending",10,7.9133,0.287755,3,3.1828,0.9268,0.8037,0,0,0
"Inari Sami","smn","Living","Ascending",10,7.8936,0.28704,3.7708,3.1828,0,0.62,0.32,0,0
"Kirmanjki (individual language)","kiu","Living","Ascending",10,7.8213,0.284412,3.7708,2,0.9268,0.8037,0.32,0,0
"Standard Moroccan Tamazight","zgh","Living","Ascending",10,7.7573,0.282083,3.7708,3.1828,0,0.8037,0,0,0
"Bislama","bis","Living","Ascending",10,7.756,0.282036,3.7708,2.6939,0.9268,0,0.3644,0,0
"Central Aymara","ayr","Living","Ascending",10,7.7043,0.280157,3.7708,2,0.9935,0.62,0.32,0,0
"Krio","kri","Living","Ascending",11,7.6659,0.278761,3.7458,2.8975,1.0226,0,0,0,0
"Nigerian Pidgin","pcm","Living","Ascending",11,7.6659,0.278761,3.7458,2.8975,1.0226,0,0,0,0
"Udmurt","udm","Living","Ascending",11,7.6088,0.276684,3.7458,1.9333,0.875,0.7336,0.321,0,0
"Eastern Mari","mhr","Living","Ascending",10,7.5638,0.275049,3.7708,2,0.9268,0.8662,0,0,0
"Balinese","ban","Living","Ascending",10,7.5027,0.272824,3.7708,2.6939,1.0379,0,0,0,0
"Seselwa Creole French","crs","Living","Ascending",10,7.5027,0.272824,3.7708,2.6939,1.0379,0,0,0,0
"Egyptian Arabic","arz","Living","Ascending",10,7.4785,0.271945,3.7708,2.6939,0.9268,0,0,0.087,0
"Central Atlas Tamazight","tzm","Living","Ascending",11,7.4658,0.271483,2.9333,2.8975,0.875,0.7599,0,0,0
"Iloko","ilo","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Ladin","lld","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Makhuwa-Meetto","mgh","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Eastern Huasteca Nahuatl","nhe","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Teso","teo","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Wolaytta","wal","Living","Ascending",9,7.4623,0.271355,3.5905,2.6134,0.9333,0.325,0,0,0
"Adangme","ada","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Plains Cree","crk","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Dyula","dyu","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Fon","fon","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Nigerian Fulfulde","fuv","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Mossi","mos","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Santali","sat","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Soninke","snk","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Serer","srr","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Sylheti","syl","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Tiv","tiv","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Zande (individual language)","zne","Living","Ascending",9,7.4123,0.269537,3.5905,2.8884,0.9333,0,0,0,0
"Sicilian","scn","Living","Ascending",9,7.2901,0.265093,3.5905,2.6134,0.9333,0,0.1528,0,0
"Lojban","jbo","Constructed","Ascending",10,7.1157,0.258753,3,2,0.9268,0.8037,0.32,0.0652,0
"Yucateco","yua","Living","Ascending",10,7.0843,0.257612,3.7708,2,0.9268,0,0.3867,0,0
"Basa (Cameroon)","bas","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Zarma","dje","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Makonde","kde","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Northern Luri","lrc","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Luba-Katanga","lub","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Meru","mer","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Sena","seh","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Soga","xog","Living","Ascending",9,7.0434,0.256124,2.8966,2.8884,0.9333,0.325,0,0,0
"Achinese","ace","Living","Ascending",9,6.9174,0.251541,3.5905,1.9158,0.9333,0.325,0.1528,0,0
